Statistic,0.0,-0.5,-0.3,-0.09999999999999998,0.10000000000000009,0.30000000000000004,0.5
Minimum Reward,4.464111804962158,4.540817642211914,4.524338722229004,4.484474849700928,4.497860622406006,4.515815925598145,4.535368824005127
Maximum Reward,4.872890758514404,4.908868408203125,4.9069314956665036,4.869439125061035,4.865115165710449,4.9141770362854,4.9116716384887695
Final Reward,4.7894972133636475,4.833601236343383,4.816831197738646,4.828945074081421,4.822763252258301,4.829542541503907,4.851176986694336
Timestep at Maximum,71428.57142857143,85714.28571428571,52040.816326530614,88775.51020408163,93877.55102040817,57142.85714285714,90816.32653061225
Mean Reward,4.7306313174111505,4.755507081868697,4.776124175713987,4.7369229297248685,4.748858813850248,4.771890821262282,4.761597201288962
Reward Standard Deviation,0.10682275410699206,0.09700851926130005,0.0982279720596186,0.09958276348149629,0.0946735093784274,0.10270972928868392,0.09950807166486325
Median Reward,4.757865858078002,4.788032960891724,4.80619249343872,4.772428035736084,4.78204083442688,4.807559537887573,4.795473670959472
Reward Interquartile Range,0.12167615890502859,0.13717527389526385,0.09991812705993652,0.11536505222320592,0.10954418182373082,0.1157791376113888,0.1274394989013672
Cumulative Reward,463.6018691062928,466.0396940231323,468.0601692199707,464.21844711303714,465.38816375732426,467.6453004837037,466.63652572631827
Area Under Reward Curve,473188.47125338524,475585.2718451589,477708.33993695443,473772.39571404207,474988.1820580394,477237.05680099956,476220.93780753546
Normalized Area Under Reward Curve,0.9710631629214811,0.9688287244579965,0.9735378216688714,0.9729506490300434,0.9763143643664954,0.9711433944629323,0.9695699811766322
Coefficient of Variation Reward,0.022581077860333254,0.020399195625460016,0.02056646109812135,0.021022669137511236,0.01993605476379043,0.021523905960093757,0.020898044806882548
Volatility,0.037627111341609225,0.03103554508878288,0.037220220065092,0.03332745052075578,0.0331284617292191,0.03638541867122494,0.029471735223551544
Steps to Threshold,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plateau Length,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Reward Trend Slope,2.879096927654617e-06,2.9256005885797153e-06,2.555438737037673e-06,2.8819050054603236e-06,2.6250276854543953e-06,2.7689929152979984e-06,3.0049966329693713e-06
Reward Trend R Value,0.7860200466997761,0.879521107080841,0.7587023040580864,0.8439886270119776,0.8086237994418782,0.7862331791448667,0.8806975467753725
Reward Trend P Value,9.11993332403982e-22,1.0049205207369062e-32,1.4393860947252333e-19,1.0220229126484857e-27,7.637432929342807e-24,8.741606909906986e-22,6.457342211603146e-33
Reward Trend Standard Error,2.3110894546340058e-07,1.6155196304857958e-07,2.2393975985352858e-07,1.8692384202520177e-07,1.949260296904433e-07,2.2211305531219674e-07,1.6495510202718315e-07
ROC AUC,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Minimum Entropy,23.350622177124023,23.44498291015625,23.50074348449707,23.170032501220703,23.21858329772949,23.241984939575197,23.364903259277344
Maximum Entropy,24.159669494628908,24.132396697998047,24.17111740112305,24.13198051452637,24.121952056884766,24.12994956970215,24.149983978271486
Mean Entropy,23.678641657926594,23.744654468614225,23.789816677327057,23.50378966428796,23.499454918686222,23.65040417106784,23.704108354996663
Entropy Standard Deviation,0.22582254145350672,0.2208257396957974,0.22776843551368336,0.26828850224587597,0.24086920174146229,0.26862567118561814,0.2357024656007727
Entropy Trend Slope,-7.490746846667911e-06,-7.344023424383295e-06,-7.652004053213745e-06,-8.676485808307036e-06,-7.834450673968545e-06,-9.139252430875128e-06,-7.961657902157885e-06
Entropy Trend R Value,-0.9673840811234916,-0.9698966665392013,-0.9797668919626648,-0.9431546427458535,-0.9485678137824612,-0.9922115231370235,-0.9851003977037771
Entropy Trend P Value,4.732299556951064e-59,1.0701749094784581e-60,7.028223583462993e-69,1.0191907918593888e-47,9.50030050574433e-50,1.1771248692350626e-88,3.326605923739278e-75
Entropy Trend Standard Error,2.0019349090290136e-07,1.881923595830483e-07,1.5953469409808264e-07,3.1205167617219797e-07,2.6685774056019906e-07,1.1710212629503114e-07,1.4186196729646282e-07
